Issue type,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
label-orphaned,moderate,label#mb-1.text-sm.font-semibold.text-white,,Ensure the correct association of a label with a form control.,http://bs-local.com:5173/,"SC 2.4.6, SC 3.3.2","<label class=""mb-1 text-sm font-semibold text-white"">Username</label>",.flex-col.flex:nth-child(1) > label,False,False,"Fix all of the following:
  Associate the form label to the correct form control element.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeViolationId=20875&activeComponentId=label%23mb-1.text-sm.font-semibold.text-white&activeBehaviorValue=&activeIssueId=708741285,2026-01-23 18:34:21 UTC,visible
label-orphaned,moderate,label#mb-1.text-sm.font-semibold.text-white,,Ensure the correct association of a label with a form control.,http://bs-local.com:5173/,"SC 2.4.6, SC 3.3.2","<label class=""mb-1 text-sm font-semibold text-white"">Password</label>",.flex-col.flex:nth-child(2) > label,False,False,"Fix all of the following:
  Associate the form label to the correct form control element.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeViolationId=20875&activeComponentId=label%23mb-1.text-sm.font-semibold.text-white&activeBehaviorValue=&activeIssueId=708741286,2026-01-23 18:34:21 UTC,visible
placeholder-as-label,moderate,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,Ensure that input fields have labels and that placeholders are not the only method used to convey the name or purpose of a form element.,http://bs-local.com:5173/,"Experimental, SC 1.3.1, SC 3.3.2","<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your password"" autocomplete=""current-password"" id=""password"" type=""password"" value="""">",#password,False,False,"Fix all of the following:
Always provide a proper visible label for form elements such as text fields, email inputs, and password fields. Do not rely solely on the placeholder attribute to convey the purpose. The placeholder attribute is intended to offer supplemental guidance or examples, not to act as a label. Since it disappears once the user starts typing, it provides no ongoing context, which can confuse screen reader users and impair accessibility.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeViolationId=21026&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741287,2026-01-23 18:34:15 UTC,visible
placeholder-as-label,moderate,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,Ensure that input fields have labels and that placeholders are not the only method used to convey the name or purpose of a form element.,http://bs-local.com:5173/,"Experimental, SC 1.3.1, SC 3.3.2","<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your username"" autocomplete=""username"" id=""username"" type=""text"" value="""">",#username,False,False,"Fix all of the following:
Always provide a proper visible label for form elements such as text fields, email inputs, and password fields. Do not rely solely on the placeholder attribute to convey the purpose. The placeholder attribute is intended to offer supplemental guidance or examples, not to act as a label. Since it disappears once the user starts typing, it provides no ongoing context, which can confuse screen reader users and impair accessibility.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeViolationId=21026&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741288,2026-01-23 18:34:15 UTC,visible
non-text-control-contrast,serious,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,"Ensure non-text elements, such as textboxes and checkboxes, meet the minimum 3:1 contrast ratio against surrounding colors",http://bs-local.com:5173/,"Experimental, SC 1.4.1.1","<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your username"" autocomplete=""username"" id=""username"" type=""text"" value="""" style="""">",#username,True,False,"Fix any of the following:
 Use sufficient contrast between non-text elements and their background to meet the 3:1 ratio.
Adjust background or border colors to improve contrast for elements like checkboxes, text fields, and icons.
Use high-contrast themes or provide a setting for users to enhance visibility.
Ensure focus indicators, hover states, and active UI elements maintain at least 3:1 contrast.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20989&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741324,2026-01-23 18:34:15 UTC,visible
non-text-control-contrast,serious,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,"Ensure non-text elements, such as textboxes and checkboxes, meet the minimum 3:1 contrast ratio against surrounding colors",http://bs-local.com:5173/,"Experimental, SC 1.4.1.1","<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your password"" autocomplete=""current-password"" id=""password"" type=""password"" value="""" style="""">",#password,True,False,"Fix any of the following:
 Use sufficient contrast between non-text elements and their background to meet the 3:1 ratio.
Adjust background or border colors to improve contrast for elements like checkboxes, text fields, and icons.
Use high-contrast themes or provide a setting for users to enhance visibility.
Ensure focus indicators, hover states, and active UI elements maintain at least 3:1 contrast.",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20989&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741325,2026-01-23 18:34:15 UTC,visible
color-contrast,serious,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,http://bs-local.com:5173/,SC 1.4.3,"<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your username"" autocomplete=""username"" id=""username"" type=""text"" value="""">",#username,True,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20912&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741347,2026-01-23 18:34:15 UTC,visible
color-contrast,serious,input#border.border-white/40.rounded-lg.px-4.py-2.bg-white/10.text-white.placeholder-gray-300.focus:outline-none.focus:ring-2.focus:ring-yellow-300,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,http://bs-local.com:5173/,SC 1.4.3,"<input class=""border border-white/40 rounded-lg px-4 py-2 bg-white/10 text-white placeholder-gray-300 focus:outline-none focus:ring-2 focus:ring-yellow-300"" placeholder=""Enter your password"" autocomplete=""current-password"" id=""password"" type=""password"" value="""">",#password,True,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20912&activeComponentId=input%23border.border-white%2F40.rounded-lg.px-4.py-2.bg-white%2F10.text-white.placeholder-gray-300.focus%3Aoutline-none.focus%3Aring-2.focus%3Aring-yellow-300&activeBehaviorValue=&activeIssueId=708741348,2026-01-23 18:34:15 UTC,visible
color-contrast,serious,label#mb-1.text-sm.font-semibold.text-white,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,http://bs-local.com:5173/,SC 1.4.3,"<label class=""mb-1 text-sm font-semibold text-white"">Username</label>",.flex-col.flex:nth-child(1) > label,True,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20912&activeComponentId=label%23mb-1.text-sm.font-semibold.text-white&activeBehaviorValue=&activeIssueId=708741349,2026-01-23 18:34:15 UTC,visible
color-contrast,serious,label#mb-1.text-sm.font-semibold.text-white,,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,http://bs-local.com:5173/,SC 1.4.3,"<label class=""mb-1 text-sm font-semibold text-white"">Password</label>",.flex-col.flex:nth-child(2) > label,True,False,"Fix any of the following:
  Element's background color could not be determined due to a background gradient",https://accessibility.browserstack.com/site-scanner/projects/Localhost+Accessibility+Scan+for+SAmple+App/builds?thBuildId=hjgwqwxvgw3unv4y7d503bpapj8p7d0yguqksxi1&recurring=false&tunnel_vision=false&id=Localhost+Accessibility+Scan+for+SAmple+App&tab=ALLISSUES&activeReviewStatus=needs-review&activeViolationId=20912&activeComponentId=label%23mb-1.text-sm.font-semibold.text-white&activeBehaviorValue=&activeIssueId=708741350,2026-01-23 18:34:15 UTC,visible
